,FB,AMZN,AAPL,NFLX,GOOGL,BTC
6/24/2019,193,1893.630005,196.1152191,367.3200073,1082.800049,11041.8533
7/1/2019,196.3999939,1942.910034,202.3676758,380.5499878,1132.670044,10599.3267
7/8/2019,204.8699951,2011,201.4461823,373.25,1145.339966,12294.6567
7/15/2019,198.3600006,1964.52002,200.7426453,315.1000061,1131.550049,10842.4517
7/22/2019,199.75,1943.050049,205.8456879,335.7799988,1245.219971,10325.825
7/29/2019,189.0200043,1823.23999,202.1596069,318.8299866,1196.319946,9501.0317
8/5/2019,187.8500061,1807.579956,199.1572418,308.9299927,1188.900024,11802.0167
8/12/2019,183.6999969,1792.569946,205.3944244,302.7999878,1179.209961,11396.5433
8/19/2019,177.75,1749.619995,201.5550995,291.4400024,1153.579956,10924.965
8/26/2019,185.6699982,1776.290039,207.6224365,293.75,1190.530029,10365.1783
9/2/2019,187.4900055,1833.51001,212.1182251,290.1700134,1206.319946,10386.915
9/9/2019,187.1900024,1839.339966,217.5788422,294.1499939,1240.030029,10314.9717
9/16/2019,189.9299927,1794.160034,216.5642853,270.75,1229.839966,10271.015
9/23/2019,177.1000061,1725.449951,217.6484833,263.0799866,1225.949951,9694.5067
9/30/2019,180.4499969,1739.650024,225.7946167,272.7900085,1210.959961,8316.8767
10/7/2019,184.1900024,1731.920044,234.9453583,282.9299927,1215.709961,8217.6333
10/14/2019,185.8500061,1757.51001,235.1443024,275.2999878,1244.410034,8362.0733
10/21/2019,187.8899994,1761.329956,245.2598419,276.8200073,1264.300049,8221.3733
10/28/2019,193.6199951,1791.439941,254.4503784,286.8099976,1272.25,9223.2067
11/4/2019,190.8399963,1785.880005,258.7472534,291.5700073,1309,9424.185
11/11/2019,195.1000061,1739.48999,265.1307678,295.0299988,1333.540039,8726.36
11/18/2019,198.8200073,1745.719971,261.1601868,310.480011,1293.670044,8191.0667
11/25/2019,201.6399994,1800.800049,266.6172485,314.6600037,1304.089966,7136.7617
12/2/2019,201.0500031,1751.599976,270.0690308,307.3500061,1339.390015,7320.8167
12/9/2019,194.1100006,1760.939941,274.4985352,298.5,1346.869995,7351.3367
12/16/2019,206.3000031,1786.5,278.7783813,336.8999939,1351.219971,6893.2367
12/23/2019,208.1000061,1869.800049,289.1138306,329.0899963,1354.640015,7324.495
12/30/2019,208.6699982,1874.969971,296.725769,325.8999939,1361.52002,7234.615
1/6/2020,218.0599976,1883.160034,309.5952148,329.0499878,1428.959961,7761.825
1/13/2020,222.1399994,1864.719971,317.9753723,339.6700134,1479.52002,8105.4783
1/20/2020,217.9400024,1861.640015,317.5563354,353.1600037,1466.170044,8631.2883
1/27/2020,201.9100037,2008.719971,308.7771912,345.0899963,1432.780029,8901.5067
2/3/2020,212.3300018,2079.280029,319.2722778,366.769989,1479.109985,9291.6433
2/10/2020,214.1799927,2134.870117,324.9500122,380.3999939,1518.72998,9852.7183
2/17/2020,210.1799927,2095.969971,313.0499878,380.0700073,1483.459961,9706.08
2/24/2020,192.4700012,1883.75,273.3599854,369.0299988,1339.25,9664.6333
3/2/2020,181.0899963,1901.089966,289.0299988,368.9700012,1295.73999,8926.2517
3/9/2020,170.2799988,1785,277.9700012,336.2999878,1214.27002,7944.45
